date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:35	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:37%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:10:40	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:38%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:10:46	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:46%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:10:49	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:49%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:10:51	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:52%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.html	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:10:52	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:10:53%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.73.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:14	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:11%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.74.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:17	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:18%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.75.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:19	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:20%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.76.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:19	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:21%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.77.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:33	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:34%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.78.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:46	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:47%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.79.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:47	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:49%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.7a.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
12:11:50	34032/34032	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:11:50%20GMT	https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/i/logo.7b.delaye	(from https://eventify.ng/vendor/index/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/assets/images/logo.png)
